n_neighbors,craft__composite__speech_timing,craft__composite__text_level,craft__composite__word_level,fugu__composite__speech_timing,fugu__composite__text_level,fugu__composite__word_level,lamina2__composite__speech_timing,lamina2__composite__text_level,lamina2__composite__word_level
26,0,0,0,1,1,0,1,1,1
26,1,1,1,0,0,1,1,1,1
26,1,1,0,0,0,1,1,1,1
26,1,1,0,1,1,1,0,0,1
26,1,1,1,0,1,1,0,0,1
26,0,1,1,0,0,1,1,1,1
26,1,1,0,0,1,0,1,0,1
26,0,1,1,0,0,1,0,1,1
26,1,1,0,0,1,0,1,1,0
12,1,1,1,1,1,0,1,0,0
12,0,0,1,1,1,1,1,0,1
12,0,1,1,1,0,1,0,0,1
12,1,0,0,0,0,0,1,1,1
12,1,1,1,1,1,1,1,1,1
12,1,0,0,1,0,1,0,1,1
12,1,0,1,1,1,1,0,1,0
12,1,1,1,0,0,0,0,1,1
12,1,0,1,1,1,0,1,0,0
12,0,1,0,0,1,1,1,0,1
12,1,0,0,1,1,0,1,1,1
12,1,1,1,1,1,0,0,0,1
12,0,0,0,1,1,0,1,1,1
12,1,1,1,0,0,1,1,1,1
12,1,1,0,0,0,1,1,1,1
12,1,1,0,1,1,1,0,0,1
12,1,1,1,0,1,1,0,0,1
12,0,1,1,0,0,1,1,1,1
12,1,1,0,0,1,0,1,0,1
12,0,1,1,0,0,1,0,1,1
12,1,1,0,0,1,0,1,1,0
19,1,1,1,1,1,0,1,0,0
19,0,0,1,1,1,1,1,0,1
19,0,1,1,1,0,1,0,0,1
19,1,0,0,0,0,0,1,1,1
19,1,1,1,1,1,1,1,1,1
19,1,0,0,1,0,1,0,1,1
19,1,0,1,1,1,1,0,1,0
19,1,1,1,0,0,0,0,1,1
19,1,0,1,1,1,0,1,0,0
19,0,1,0,0,1,1,1,0,1
19,1,0,0,1,1,0,1,1,1
19,1,1,1,1,1,0,0,0,1
19,0,0,0,1,1,0,1,1,1
19,1,1,1,0,0,1,1,1,1
19,1,1,0,0,0,1,1,1,1
19,1,1,0,1,1,1,0,0,1
19,1,1,1,0,1,1,0,0,1
19,0,1,1,0,0,1,1,1,1
19,1,1,0,0,1,0,1,0,1
19,0,1,1,0,0,1,0,1,1
19,1,1,0,0,1,0,1,1,0
9,1,1,1,1,1,0,1,0,0
9,0,0,1,1,1,1,1,0,1
9,0,1,1,1,0,1,0,0,1
9,1,0,0,0,0,0,1,1,1
9,1,1,1,1,1,1,1,1,1
9,1,0,0,1,0,1,0,1,1
9,1,0,1,1,1,1,0,1,0
9,1,1,1,0,0,0,0,1,1
9,1,0,1,1,1,0,1,0,0
9,0,1,0,0,1,1,1,0,1
9,1,0,0,1,1,0,1,1,1
9,1,1,1,1,1,0,0,0,1
9,0,0,0,1,1,0,1,1,1
9,1,1,1,0,0,1,1,1,1
9,1,1,0,0,0,1,1,1,1
9,1,1,0,1,1,1,0,0,1
9,1,1,1,0,1,1,0,0,1
9,0,1,1,0,0,1,1,1,1
9,1,1,0,0,1,0,1,0,1
9,0,1,1,0,0,1,0,1,1
9,1,1,0,0,1,0,1,1,0
20,1,1,1,1,1,0,1,0,0
20,0,0,1,1,1,1,1,0,1
20,0,1,1,1,0,1,0,0,1
20,1,0,0,0,0,0,1,1,1
20,1,1,1,1,1,1,1,1,1
20,1,0,0,1,0,1,0,1,1
20,1,0,1,1,1,1,0,1,0
20,1,1,1,0,0,0,0,1,1
20,1,0,1,1,1,0,1,0,0
