tasks,dimensions,y_label,bootstrap method,roc_auc,p_value_roc_auc,accuracy,p_value_accuracy,f1,p_value_f1,recall,p_value_recall,precision,p_value_precision,norm_expected_cost,p_value_norm_expected_cost,norm_cross_entropy,p_value_norm_cross_entropy
"[Animales, P]","[timing, properties]",target,bca,"0.024, (-0.098, 0.147)",0.36,"0.003, (-0.108, 0.124)",0.504,"-0.070, (-0.215, 0.074)",0.153,"-0.167, (-0.332, 0.018)",0.031,"0.070, (-0.066, 0.210)",0.142,"-0.006, (-0.281, 0.245)",0.503,"-0.163, (-0.511, 0.118)",0.146
"[Animales, P]","[timing, properties__timing]",target,bca,"0.032, (-0.088, 0.154)",0.312,"-0.020, (-0.132, 0.121)",0.344,"-0.087, (-0.234, 0.084)",0.134,"-0.173, (-0.342, 0.029)",0.038,"0.042, (-0.087, 0.188)",0.272,"0.039, (-0.297, 0.282)",0.344,"-0.058, (-0.266, 0.149)",0.296
"[Animales, P]","[timing, timing]",target,bca,"0.043, (-0.085, 0.168)",0.274,"0.044, (-0.068, 0.153)",0.246,"-0.017, (-0.141, 0.126)",0.387,"-0.094, (-0.240, 0.086)",0.12,"0.104, (-0.042, 0.240)",0.084,"-0.088, (-0.336, 0.169)",0.247,"0.082, (-0.164, 0.294)",0.214
"[Animales__P, Animales__P]","[properties, properties__timing]",target,bca,"0.058, (0.022, 0.116)",0.005,"0.053, (0.008, 0.105)",0.016,"0.055, (0.010, 0.105)",0.011,"0.058, (0.000, 0.117)",0.03,"0.051, (-0.000, 0.125)",0.044,"-0.106, (-0.213, 0.003)",0.016,"-0.170, (-0.357, -0.035)",0.015
"[Animales__P, Animales__P]","[properties, timing]",target,bca,"0.166, (0.058, 0.286)",0.002,"0.136, (0.035, 0.242)",0.008,"0.137, (0.021, 0.253)",0.011,"0.136, (-0.037, 0.290)",0.052,"0.138, (0.041, 0.266)",0.006,"-0.273, (-0.504, -0.039)",0.008,"-0.337, (-0.662, 0.002)",0.021
"[Animales__P, brain]","[properties, norm_brain_lit]",target,bca,"-0.055, (-0.175, 0.060)",0.176,"-0.058, (-0.176, 0.062)",0.17,"-0.059, (-0.189, 0.062)",0.18,"-0.064, (-0.235, 0.109)",0.231,"-0.054, (-0.187, 0.087)",0.235,"0.115, (-0.167, 0.383)",0.169,"0.167, (-0.290, 0.608)",0.229
"[Animales__P, connectivity]","[properties, networks]",target,bca,"0.198, (0.053, 0.327)",0.002,"0.177, (0.052, 0.289)",0.0,"0.188, (0.045, 0.324)",0.004,"0.200, (0.014, 0.374)",0.012,"0.174, (0.040, 0.312)",0.002,"-0.355, (-0.589, -0.043)",0.0,"-0.235, (-0.537, 0.157)",0.093
"[Animales__P, nps]","[properties, executive]",target,bca,"0.052, (-0.067, 0.176)",0.193,"0.012, (-0.097, 0.125)",0.422,"0.021, (-0.093, 0.135)",0.366,"0.048, (-0.094, 0.205)",0.25,"-0.008, (-0.165, 0.138)",0.458,"-0.024, (-0.286, 0.229)",0.422,"-0.052, (-0.334, 0.328)",0.346
"[Animales__P, nps]","[properties, executive__mmse]",target,bca,"-0.088, (-0.195, -0.012)",0.021,"-0.085, (-0.178, 0.004)",0.028,"-0.086, (-0.186, -0.003)",0.029,"-0.088, (-0.221, 0.011)",0.058,"-0.083, (-0.205, 0.033)",0.084,"0.170, (-0.038, 0.355)",0.028,"0.275, (-0.042, 0.671)",0.051
"[Animales__P, nps]","[properties, mmse]",target,bca,"-0.104, (-0.217, -0.029)",0.01,"-0.079, (-0.173, 0.019)",0.056,"-0.063, (-0.187, 0.061)",0.143,"0.037, (-0.132, 0.196)",0.312,"-0.202, (-0.340, -0.082)",0.0,"0.167, (-0.066, 0.396)",0.056,"0.299, (-0.004, 0.683)",0.035
