task,dimension,y_label,model_type,random_seed_test,bootstrap_method_dev,roc_auc,accuracy,f1,recall,precision,norm_expected_cost,norm_cross_entropy
nps,mmse,target,xgb,,bca,"0.94783, (0.85990, 0.98306)","0.86316, (0.76557, 0.92105)","0.85227, (0.74856, 0.92361)","0.83333, (0.70375, 0.92135)","0.87209, (0.70934, 0.96580)","0.28889, (0.14207, 0.49440)","0.43121, (0.25813, 0.73558)"
P,properties,target,knnc,,bca,"0.65913, (0.55190, 0.75829)","0.57879, (0.47365, 0.68052)","0.38496, (0.25354, 0.52635)","0.26364, (0.16149, 0.39119)","0.71311, (0.43899, 0.88672)","0.84242, (0.63518, 1.01696)","0.96722, (0.90319, 1.05924)"
P,properties,target,lr,,bca,"0.67375, (0.54894, 0.78536)","0.65606, (0.54917, 0.74394)","0.64139, (0.48698, 0.74434)","0.61515, (0.45170, 0.73929)","0.66997, (0.46940, 0.80351)","0.68788, (0.43775, 0.90190)","1.01411, (0.97682, 1.05198)"
P,properties,target,svc,,bca,"0.50000, (nan, nan)","0.50000, (0.39394, 0.62121)","0.00000, (nan, nan)","0.00000, (nan, nan)","0.00000, (nan, nan)","1.00000, (1.00000, 1.20000)","1.00019, (1.00014, 1.00405)"
P,properties,target,xgb,,bca,"0.66439, (0.55074, 0.76067)","0.64091, (0.55000, 0.72273)","0.64680, (0.52528, 0.74162)","0.65758, (0.52657, 0.76206)","0.63636, (0.46774, 0.76008)","0.71818, (0.49916, 0.87037)","1.27054, (1.00597, 1.62067)"
P,properties__timing,target,knnc,,bca,"0.65483, (0.54249, 0.75023)","0.55909, (0.45930, 0.65961)","0.32168, (0.20353, 0.47874)","0.20909, (0.12500, 0.34333)","0.69697, (0.43427, 0.88462)","0.88182, (0.68933, 1.03000)","0.98421, (0.92377, 1.07382)"
P,properties__timing,target,lr,,bca,"0.66505, (0.56590, 0.74237)","0.68182, (0.59242, 0.75000)","0.67692, (0.56291, 0.77219)","0.66667, (0.54118, 0.77535)","0.68750, (0.52090, 0.79723)","0.63636, (0.44083, 0.81099)","1.24820, (1.06853, 1.44994)"
P,properties__timing,target,svc,,bca,"0.50000, (nan, nan)","0.50000, (0.39394, 0.62121)","0.00000, (nan, nan)","0.00000, (nan, nan)","0.00000, (nan, nan)","1.00000, (1.00000, 1.20000)","1.00019, (1.00014, 1.00405)"
P,properties__timing,target,xgb,,bca,"0.66713, (0.55207, 0.76442)","0.63939, (0.55919, 0.71745)","0.65103, (0.54132, 0.74052)","0.67273, (0.55154, 0.77008)","0.63068, (0.46435, 0.74210)","0.72121, (0.49024, 0.87655)","1.31461, (1.00960, 1.69671)"
P,timing,target,knnc,,bca,"0.49551, (0.42279, 0.56073)","0.52576, (0.44354, 0.59545)","0.39458, (0.29396, 0.49272)","0.30909, (0.21818, 0.40318)","0.54545, (0.38741, 0.68162)","0.94848, (0.76507, 1.05161)","1.25168, (1.15012, 1.38512)"
P,timing,target,lr,,bca,"0.66790, (0.55475, 0.76477)","0.58636, (0.49091, 0.67424)","0.58193, (0.45877, 0.69217)","0.57576, (0.44316, 0.70956)","0.58824, (0.43307, 0.72355)","0.82727, (0.59331, 1.00346)","1.03226, (0.84677, 1.29628)"
P,timing,target,svc,,bca,"0.52227, (0.48193, 0.56409)","0.51061, (0.40180, 0.61989)","0.11507, (0.07051, 0.16286)","0.06364, (0.03841, 0.09167)","0.60000, (0.39262, 0.77256)","0.97879, (0.93745, 1.02675)","1.00001, (0.98440, 1.01424)"
P,timing,target,xgb,,bca,"0.54845, (0.45164, 0.64454)","0.55303, (0.47536, 0.61970)","0.55505, (0.45300, 0.65060)","0.55758, (0.45159, 0.65419)","0.55255, (0.40346, 0.67821)","0.89394, (0.70788, 1.02451)","1.55287, (1.26176, 1.87894)"
